S01,1,1744302110.08763,1744302209.78377
S01,2,1744302248.5356,1744302322.43395
S01,3,1744302365.46979,1744302440.99361
S01,4,1744302487.89761,1744302561.16838
S01,5,1744302592.74739,1744302668.69902
S01,6,1744302701.09561,1744302766.91984
S02,3,1744386325.05853,1744386457.62697
S02,4,1744386524.99697,1744386662.68802
S02,5,1744386712.30501,1744386902.65705
S02,9,1744387728.19688,1744387934.79995
S02,10,1744388002.53894,1744388169.2995
S02,11,1744388245.44123,1744388360.94615
S03,1,1744725468.74567,1744725579.42406
S03,2,1744725630.73137,1744725761.30863
S03,3,1744725826.23381,1744725915.00262
S03,4,1744725961.50597,1744726080.3368
S03,5,1744726136.86565,1744726218.03989
S03,6,1744726267.20289,1744726353.49309
S04,2,1744729343.80937,1744729453.82696
S04,4,1744729634.80382,1744729740.12537
S04,5,1744729786.63833,1744729896.98091
S04,6,1744729934.24232,1744730020.90333
S04,7,1744730074.29271,1744730164.64589
S04,8,1744730203.06701,1744730319.9734
S05,1,1744731674.25922,1744731847.64783
S05,2,1744731902.54291,1744732158.36839
S05,3,1744732222.7124,1744732426.42637
S05,4,1744732473.06029,1744732717.08538
S05,5,1744732798.95641,1744732992.74636
S05,6,1744733060.12223,1744733216.81036
S06,1,1744835724.30336,1744835836.59382
S06,2,1744835891.3675,1744836072.05581
S06,3,1744836137.84974,1744836277.93683
S06,4,1744836358.82282,1744836464.70428
S06,5,1744836552.43264,1744836654.68317
S06,6,1744836707.60072,1744836838.21432
S07,1,1744996194.3463,1744996369.9247
S07,3,1744996837.04681,1744997060.90205
S07,4,1744997150.40744,1744997417.85179
S07,5,1744997518.78995,1744997714.78992
S07,6,1744997860.1662,1744998047.83679
S07,7,1744998147.023,1744998376.93183
S08,1,1745235697.11491,1745235792.97783
S08,2,1745235843.28252,1745235927.86857
S08,3,1745236003.82191,1745236131.58515
S08,4,1745236168.19434,1745236255.99693
S08,5,1745236319.0366,1745236413.56637
S08,6,1745236457.14137,1745236543.06216
S09,1,1745505914.43741,1745506050.78789
S09,2,1745506106.96334,1745506185.9715
S09,3,1745506263.08897,1745506384.91613
S09,4,1745506430.59012,1745506553.5729
S09,5,1745506641.90435,1745506737.29191
S09,6,1745506782.38592,1745506868.12388
S10,1,1745507785.7646,1745507861.1206
S10,2,1745507898.10464,1745508019.03581
S10,4,1745508209.94891,1745508280.64789
S10,5,1745508309.96795,1745508402.06316
S10,6,1745508447.88016,1745508539.27682
S10,7,1745508587.2429,1745508670.83089
S11,1,1745513235.2079,1745513348.15991
S11,2,1745513410.61473,1745513495.91228
S11,3,1745513554.6629,1745513688.87031
S11,4,1745513755.05248,1745513832.45389
S11,5,1745513912.95196,1745514039.11052
S11,6,1745514093.00702,1745514166.55498
S12,1,1746018356.27184,1746018453.2441
S12,2,1746018495.59983,1746018566.34881
S12,3,1746018653.585,1746018725.87084
S12,4,1746018761.42474,1746018821.51885
S12,5,1746018877.04803,1746018941.50693
S12,6,1746018975.15781,1746019038.31391
S13,1,1746563346.98375,1746563427.69814
S13,3,1746563513.43484,1746563572.89836
S13,4,1746563617.17979,1746563673.95071
S13,5,1746563699.64922,1746563769.94621
S13,6,1746563817.27567,1746563875.14124
S13,8,1746563957.42068,1746564026.36368
S14,1,1747156710.98736,1747156796.29082
S14,2,1747156844.46682,1747156930.02505
S14,3,1747156972.86383,1747157055.18705
S14,4,1747157095.48883,1747157170.17782
S14,5,1747157212.30919,1747157300.00081
S14,6,1747157339.66745,1747157415.75982
S15,1,1748028760.48035,1748028962.97981
S15,2,1748029030.87338,1748029162.90647
S15,3,1748029206.34437,1748029215.1717
S15,4,1748029378.645,1748029475.19237
S15,5,1748029521.14136,1748029617.53751
S15,6,1748029662.14152,1748029826.93937
S16,3,1748882905.80385,1748882976.02011
S16,4,1748883010.2581,1748883057.24596
S16,5,1748883097.25296,1748883158.69286
S16,6,1748883189.15303,1748883240.93486
S16,7,1748883313.4298,1748883379.00303
S16,8,1748883409.25105,1748883467.99647
S17,1,1749758252.31621,1749758331.34603
S17,2,1749758401.24692,1749758522.48004
S17,3,1749758578.75403,1749758674.77697
S17,4,1749758721.29,1749758809.20185
S17,5,1749758893.38286,1749758986.16832
S17,6,1749759021.80466,1749759173.21054
S18,1,1749760458.40865,1749760547.76008
S18,2,1749760582.20307,1749760645.48308
S18,3,1749760691.35309,1749760786.32208
S18,4,1749760814.45508,1749760889.24709
S18,5,1749760926.93407,1749760990.84808
S18,6,1749761016.18109,1749761078.21808
S19,1,1749762695.61493,1749762786.99768
S19,2,1749762832.40683,1749762937.73599
S19,3,1749762979.19222,1749763037.23061
S19,4,1749763096.22565,1749763197.66076
S19,5,1749763247.21596,1749763328.22495
S19,6,1749763361.5793,1749763427.45492
S20,1,1749834814.46181,1749834923.38509
S20,2,1749834961.0201,1749835096.708
S20,3,1749835140.28036,1749835248.51051
S20,4,1749835283.93576,1749835373.84205
S20,5,1749835423.55607,1749835540.04653
S20,6,1749835581.39051,1749835694.28634
S21,1,1749836737.16001,1749836985.65004
S21,2,1749837040.01919,1749837212.02306
S21,3,1749837272.63836,1749837482.2353
S21,4,1749837527.9297,1749837743.54065
S21,5,1749837795.35626,1749838069.06999
S21,6,1749838102.60899,1749838320.10935
S22,1,1750774252.95132,1750774299.01814
S22,2,1750774342.35589,1750774414.36967
S22,3,1750774447.80567,1750774485.51383
S22,4,1750774530.71971,1750774575.50117
S22,5,1750774603.62512,1750774653.08936
S22,6,1750774683.18337,1750774728.75539
S23,1,1750963833.60489,1750964025.681
S23,4,1750964449.83197,1750964533.50841
S23,5,1750964577.37773,1750964647.22662
S23,6,1750964701.58261,1750964772.44502
S23,7,1750964812.32957,1750964872.55305
S23,8,1750964955.24301,1750965019.45508
